2013-05-27 06:19:56  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:20:43  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:20:43  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:21:05  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:21:05  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:21:16  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:21:17  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:21:38  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:21:38  -- userModel.userController +++ LOG   +++ SELECT * FROM users
2013-05-27 06:22:02  -- userModel.userController +++ LOG   +++ Connecting to root@127.0.0.1/prototype
2013-05-27 06:22:02  -- userModel.userController +++ LOG   +++ SELECT * FROM users
